ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-30,379711.17540326476,30198.37407183446,698500.99031315,379711.17422806646,379711.1763059298,-17499.08152636172,-17499.08152636172,-17499.08152636172,-17499.08152636172,-17499.08152636172,-17499.08152636172,0.0,0.0,0.0,362212.09387690306
2025-07-31,380128.3959867791,-210139.83502953371,467770.71217513265,380128.3922007936,380128.39897029806,-246949.2348687358,-246949.2348687358,-246949.2348687358,-246949.2348687358,-246949.2348687358,-246949.2348687358,0.0,0.0,0.0,133179.16111804332
2025-08-31,380545.6165702934,-397034.58337077725,290766.15066844376,380545.6093582012,380545.62278586085,-447007.5439648972,-447007.5439648972,-447007.5439648972,-447007.5439648972,-447007.5439648972,-447007.5439648972,0.0,0.0,0.0,-66461.92739460384
2025-09-30,380949.3784253072,-515435.23306675727,181127.63507620493,380949.367262971,380949.3886826297,-565918.3459533283,-565918.3459533283,-565918.3459533283,-565918.3459533283,-565918.3459533283,-565918.3459533283,0.0,0.0,0.0,-184968.96752802108
2025-10-31,381366.59900882153,-541357.5868094929,126381.03059640445,381366.58299054776,381366.61411511025,-570870.273377484,-570870.273377484,-570870.273377484,-570870.273377484,-570870.273377484,-570870.273377484,0.0,0.0,0.0,-189503.6743686624
2025-11-30,381770.3608638354,-353915.86280691926,292021.7347463784,381770.3397320504,381770.38138995535,-424915.54053279065,-424915.54053279065,-424915.54053279065,-424915.54053279065,-424915.54053279065,-424915.54053279065,0.0,0.0,0.0,-43145.17966895527
2025-12-31,382187.5814473496,11718.965351386025,689938.8954076621,382187.5546005242,382187.6069182302,-30832.446051889485,-30832.446051889485,-30832.446051889485,-30832.446051889485,-30832.446051889485,-30832.446051889485,0.0,0.0,0.0,351355.1353954601
2026-01-31,382604.802030864,940133.3400104985,1581689.29288346,382604.7693219272,382604.8330409414,884135.9689949051,884135.9689949051,884135.9689949051,884135.9689949051,884135.9689949051,884135.9689949051,0.0,0.0,0.0,1266740.7710257692
2026-02-28,382981.64642887685,-472124.70396020403,176042.14139505406,382981.60680485494,382981.6840628253,-526556.4829462534,-526556.4829462534,-526556.4829462534,-526556.4829462534,-526556.4829462534,-526556.4829462534,0.0,0.0,0.0,-143574.83651737653
2026-03-31,383398.86701239116,-285327.19575949473,398740.8556416954,383398.8204348498,383398.9107145024,-326552.731892116,-326552.731892116,-326552.731892116,-326552.731892116,-326552.731892116,-326552.731892116,0.0,0.0,0.0,56846.13512027514
2026-04-30,383802.62886740494,71567.64868479621,752134.7557389318,383802.57643871254,383802.677929148,20092.952982517327,20092.952982517327,20092.952982517327,20092.952982517327,20092.952982517327,20092.952982517327,0.0,0.0,0.0,403895.58184992225
2026-05-31,384219.8494509193,294474.8477078787,939067.7982938609,384219.7901627006,384219.9051160384,243996.5632469216,243996.5632469216,243996.5632469216,243996.5632469216,243996.5632469216,243996.5632469216,0.0,0.0,0.0,628216.412697841
